id,chapter,type,stem
COMP-0001,第一章 计算机基础,单项选择题,1. 世界上公认的第一台计算机是在 ( )年诞生的。
COMP-0002,第一章 计算机基础,单项选择题,2. 下列叙述正确的是 ( )。
COMP-0003,第一章 计算机基础,单项选择题,3. 用来表示计算机辅助设计的英文缩写是 ( )。
COMP-0004,第一章 计算机基础,单项选择题,4. 计算机的发展阶段通常是按计算机所采用的 ( )来划分的。
COMP-0005,第一章 计算机基础,单项选择题,5. 计算机中的指令和数据采用 ( )存储。
COMP-0007,第一章 计算机基础,单项选择题,7. 计算机能直接执行 ( )。
COMP-0009,第一章 计算机基础,单项选择题,9. 关于计算机的发展及基本知识，不正确的是 ( )
COMP-0013,第一章 计算机基础,单项选择题,13. 将基础设施作为服务的云计算服务类型是 ( )。
COMP-0014,第一章 计算机基础,单项选择题,14. 在下列技术中，不属于物联网关键技术的是 ( )。
COMP-0016,第一章 计算机基础,单项选择题,16. 与十进制数 291 等值的十六进制数为 ( )。
COMP-0018,第一章 计算机基础,单项选择题,18. 通常用十六进制数，而不用二进制书写计算机中的数，是因为 ( )。
COMP-0019,第一章 计算机基础,单项选择题,19. 与十六进制数 B5 等值的二进制数是 ( )。
COMP-0020,第一章 计算机基础,单项选择题,20. 已知有不同进制的数， a=(111101)₂，b=(3 C)₁₆，c=(64)₁₀，则不等式 ( )成立。
COMP-0021,第一章 计算机基础,单项选择题,21. 八进制中，小数点左边第四位上的位权是8的 ( )次方。
COMP-0022,第一章 计算机基础,单项选择题,22. 下列式子中成立的是 ( )
COMP-0023,第一章 计算机基础,单项选择题,23. 下列有关“基数”表述正确的是 ( )。
COMP-0024,第一章 计算机基础,单项选择题,24. 存储容量 1GB 等于 ( ) 。
COMP-0025,第一章 计算机基础,单项选择题,25. 存储容量1TB 等于 ( ) 。
COMP-0028,第一章 计算机基础,单项选择题,28. 用户从键盘上输入的汉字编码被称为 ( )。
COMP-0029,第一章 计算机基础,单项选择题,29. 用于在计算机内部存储、处理汉字的编码称为汉字 ( )。
COMP-0030,第一章 计算机基础,单项选择题,30. 汉字系统中的汉字字库里存放的是汉字的 ( )。
COMP-0031,第一章 计算机基础,单项选择题,31. 下列各选项中不属于汉字输入码的是 ( )。
COMP-0032,第一章 计算机基础,单项选择题,32. 在计算机领域中，标准 AS CII码用一个字节即8位二进制数来表示一个字符，这个字节的变化范围是 ( )。
COMP-0033,第一章 计算机基础,单项选择题,33. 下列关于 ASCⅡ编码的叙述中， 正确的是 ( ) 。
COMP-0034,第一章 计算机基础,单项选择题,34. 下列关于计算机的叙述中，不正确的一条是 )。
COMP-0035,第一章 计算机基础,单项选择题,35. 8位二进制数最多能表示 ( )种不同状态。
COMP-0036,第一章 计算机基础,单项选择题,36. 在下列关于计算思维的说法中，正确的是 ( )。
COMP-0039,第一章 计算机基础,单项选择题,39. 关于社会信息化的说法，错误的是 ( )。
COMP-0040,第一章 计算机基础,单项选择题,40. 算式37+6=45正确， 则该算式采用的进制是 ( ) 。
COMP-0041,第一章 计算机基础,单项选择题,41. 如果等式2+5=10成立， 则6+4= ( ) 。
COMP-0042,第一章 计算机基础,单项选择题,42. 一个字节由8个二进制位组成，那么两个字节所能表示的最大的十六进制整数为( )。
COMP-0043,第一章 计算机基础,单项选择题,43. 把十进制数-123表示为机器数的原码形式为 ( )。
COMP-0044,第一章 计算机基础,单项选择题,44. 对于汉字编码，以下说法中正确的是 ( )。
COMP-0045,第一章 计算机基础,单项选择题,45. 汉字的字形码可以用点阵方式来表示，以下关于汉字点阵的描述中，正确的是 ( )。
COMP-0046,第一章 计算机基础,单项选择题,46. 一个汉字的机内码与国标码之间的差别是 ( )。
COMP-0047,第一章 计算机基础,单项选择题,47. 二进制数01001101和11010011进行“逻辑或”运算， 运算结果再与二进制数01011101进行“逻辑与”运算，结果为 ( )。
COMP-0048,第一章 计算机基础,单项选择题,48. 十进制数转换成二进制数的方法是 ( )。
COMP-0049,第一章 计算机基础,单项选择题,49. 若某进制的运算中5×9=39，则在该进制下4×7的结果是 ( ) 。
COMP-0050,第一章 计算机基础,单项选择题,50. 将十六进制数直接转换成二进制数时，每一位十六进制数对应的二进制数的位数是( ) 。
COMP-0051,第一章 计算机基础,单项选择题,51. 下列描述中，正确的是 ( )。
COMP-0052,第一章 计算机基础,单项选择题,52. 关于数据的描述中，错误的是 ( )。
COMP-0053,第一章 计算机基础,单项选择题,53. 汉字信息交换码 ( )是我国颁布的国家标准。
COMP-0055,第一章 计算机基础,单项选择题,55. 在微机中，西文字符所采用的编码是 ( )。
COMP-0056,第一章 计算机基础,单项选择题,56. 五笔字型汉字输入法的编码属于 ( )。
COMP-0057,第一章 计算机基础,单项选择题,57. 显示或打印汉字时，系统使用的是汉字的 ( )。
COMP-0058,第一章 计算机基础,单项选择题,58. 已知英文字母m的 ASCⅡ码值为6 DH， 那么 AS CII码值为71H的英文字母是 ( ) 。
COMP-0059,第一章 计算机基础,单项选择题,59. 若已知一汉字的国标码是5E38H， 则其内码是 ( ) 。
COMP-0060,第一章 计算机基础,单项选择题,60. 在数制的转换中，下列叙述中正确的一条是 ( )。
COMP-0061,第一章 计算机基础,单项选择题,61. 下列不属于计算机特点的是 ( )。
COMP-0062,第一章 计算机基础,单项选择题,62. 计算机之所以能按人们的意图自动进行工作，最直接的原因是因为采用了 ( )。
COMP-0063,第一章 计算机基础,单项选择题,63. 电子计算机最早的应用领域是 ( )。
COMP-0064,第一章 计算机基础,单项选择题,64. 存储一个 48×48点阵的汉字字形码需要的字节数是 ( )。
COMP-0066,第一章 计算机基础,判断题,1. 从计算机的用途上看，人们家里使用的普通计算机都是专用计算机。
COMP-0067,第一章 计算机基础,判断题,2. 计算机的特点是存储容量大，运算精度低。
COMP-0068,第一章 计算机基础,判断题,3. 在计算机发展的过程中，人们先后发明的计算机依次是：微型机—小型机—大型机—巨型机。
COMP-0069,第一章 计算机基础,判断题,4. 位权是指数码在不同位置上的权值。
COMP-0070,第一章 计算机基础,判断题,5. 八进制数是由1、2、3、4、5、6、7、8这8个数码组成的。
COMP-0071,第一章 计算机基础,判断题,6. 计算机中的字符， 一般采用ASCⅡ码编码方案。若已知“H”的ASCⅡ码为48H， 则可推断出“J”的ASCⅡ码为50H。
COMP-0072,第一章 计算机基础,判断题,7. 汉字字形码是用来将汉字显示到屏幕上或打印到纸上所需要的图形数据。
COMP-0074,第一章 计算机基础,判断题,9. 计算机智能化是指计算机具有人的感觉和思维过程的能力，从而取代人的全部能力。
COMP-0076,第一章 计算机基础,填空题,2. 交易双方都是企业的电子商务形式称为___________________。
COMP-0077,第一章 计算机基础,填空题,3. 二进制数111011转换成八进制为 __________________。
COMP-0078,第一章 计算机基础,填空题,4. 将八进制数56转化为二进制数为__________________。
COMP-0079,第一章 计算机基础,填空题,5. 二进制数 1010111转换成八进制数是__________________。
COMP-0084,第一章 计算机基础,填空题,10. 通常规定一个数的_________________ 作为符号位，“0”表示正，“1”表示负。
COMP-0086,第一章 计算机基础,填空题,12. 在微机系统中，普遍使用的字符编码是__________________。
COMP-0088,第一章 计算机基础,填空题,14. 表示6种状态至少需要__________________位二进制数。
COMP-0090,第一章 计算机基础,填空题,16. 执行二进制数算术加法运算: 10101010+00101010=__________________。
COMP-0091,第一章 计算机基础,填空题,17. 5 位无符号二进制数字最大能表示的十进制整数是 __________________。
