id,official_no,answer,stem
ENG-TEXT-076,1,D,1. The climate of my hometown is much milder than ____ of the northern
ENG-TEXT-077,2,B,"2. Of all the suggestions we have collected, only ____ put forward by "
ENG-TEXT-078,3,A,3. I have read ____ novels. Their writing styles are totally different
ENG-TEXT-079,4,C,4. Many ____ will take part in the school art festival next week.
ENG-TEXT-080,5,B,5. There is ____ interesting in today's newspaper; you can read it lat
ENG-TEXT-081,6,C,"6. -I can't find the magazine I bought this morning. -Well, Jack is re"
ENG-TEXT-082,7,D,7. ____ work has been done to improve the people's living standard.
ENG-TEXT-083,8,C,"8. I tried two bookstores for the book I wanted, but ____ of them had "
ENG-TEXT-084,9,B,9. Don't worry. There is ____ wrong with the TV set. It's only because
ENG-TEXT-085,10,A,10. She taught ____ English in her free time and made great progress.
ENG-TEXT-086,11,C,11. There is ____ juice in the fridge. Let's go and buy some.
ENG-TEXT-087,12,A,12. The factory bought a piece of new ____ to improve production.
ENG-TEXT-088,13,B,13. The cost of living in a metropolitan city like Shanghai is far bey
ENG-TEXT-089,14,A,14. It is impossible for so ____ workers to do so ____ work in a singl
ENG-TEXT-090,15,B,15. The friends tried to settle the quarrel between Mr. and Mrs. Smith
ENG-TEXT-091,16,A,"16. The company is facing a severe shortage of raw ____, which has aff"
ENG-TEXT-092,17,D,"17. The government has introduced new policies, but ____ of them seem "
ENG-TEXT-093,18,A,18. The doctor advised him to cut down on sugar and fat for the sake o
ENG-TEXT-094,19,C,"19. In modern society, mental health is no longer a taboo subject, but"
ENG-TEXT-095,20,A,"20. In some cultures, it is considered impolite to ask personal questi"
ENG-TEXT-096,21,A,21. 他的家人都支持这个决定。
ENG-TEXT-097,22,C,22. 许多学生喜欢读这类故事。
ENG-TEXT-098,23,B,23. 所有女孩都整理好了自己的行李。
ENG-TEXT-099,24,C,24. 我没有收到他的任何消息。
ENG-TEXT-100,25,A,25. 大量细节决定一份方案的成败。
ENG-TEXT-101,26,D,26. 亲友的支持是前行最大的底气。
ENG-TEXT-102,27,A,27. 每条规则都维护集体的利益。
ENG-TEXT-103,28,A,28. 教师的耐心关乎学生的成长与进步。
ENG-TEXT-104,29,C,29. 这片区域的资源归全体居民共有。
ENG-TEXT-105,30,B,30. 彼此的包容拉近所有人的距离。
ENG-TEXT-106,31,社会进步极大地改善了普通民众的生活条件。,31. Social progress greatly improves the living conditions of ordinary
ENG-TEXT-107,32,教育在现代社会年轻人的健康成长中发挥着重要作用。,32. Education plays an important role in the healthy growth of young p
ENG-TEXT-108,33,这些丰富多彩的课外活动从多方面提高了学生们的不同能力。,33. These colorful after-class activities improved students' different
ENG-TEXT-109,34,传统文化是一个民族的根，我们应该尽最大努力去保护它。,"34. Traditional culture is the root of a nation, and we should try our"
ENG-TEXT-110,35,科学技术的快速发展给我们的日常生活带来了巨大的便利，但它也引发了一些社会,35. The rapid development of science and technology brings great conve
