question_id,origin_id,image_count,source_image_refs,new_image_paths,stem
MATH-0001,M-001-01,1,question-images/source-04-001.png,question-images/wrongbook-math/MATH-0001-01.png,判断 y=lgx² 与 y=2lgx 等函数是否相同
MATH-0002,M-001-02,1,question-images/source-04-002.png,question-images/wrongbook-math/MATH-0002-01.png,判断 f(x)=∛(x⁴-x³) 与 g(x)=x∛(x-1) 是否相同
MATH-0003,M-001-03,1,question-images/source-04-003.png,question-images/wrongbook-math/MATH-0003-01.png,求 y=lg(x+2)+1/√(x²-1) 的定义域
MATH-0004,M-001-04,1,question-images/source-04-004.png,question-images/wrongbook-math/MATH-0004-01.png,求 y=√(16-x²)+arcsin((2x-1)/7) 的定义域
MATH-0005,M-001-05,1,question-images/source-04-005.png,question-images/wrongbook-math/MATH-0005-01.png,求 y=√(25-x²)+ln(sin x) 的定义域
MATH-0006,M-001-06,1,question-images/source-04-006.png,question-images/wrongbook-math/MATH-0006-01.png,"已知 f(x) 定义域[0,1]，求 f(ln x) 定义域"
MATH-0007,M-001-07,1,question-images/source-04-007.png,question-images/wrongbook-math/MATH-0007-01.png,"已知 f(2x+1) 定义域[3,5]，求 f(x-1) 定义域"
MATH-0008,M-001-08,2,question-images/source-05-014.png;question-images/source-05-015.png,question-images/wrongbook-math/MATH-0008-01.png;question-images/wrongbook-math/MATH-0008-02.png,求 y=√(4-x²)+1/ln(cos x) 的定义域
MATH-0009,M-001-09,1,question-images/source-05-016.png,question-images/wrongbook-math/MATH-0009-01.png,"已知 f(x-3)定义域[0,3]，g(x)=f(x)/√(2x+1)，求g定义域"
MATH-0010,M-001-10,1,question-images/source-05-017.png,question-images/wrongbook-math/MATH-0010-01.png,"已知 f(x)定义域(0,1)，求 f(2^x) 定义域"
MATH-0011,M-001-11,1,question-images/source-04-015.png,question-images/wrongbook-math/MATH-0011-01.png,求 y=³√(x+1) 的反函数
MATH-0012,M-001-12,1,question-images/source-05-007.png,question-images/wrongbook-math/MATH-0012-01.png,求 y=2^x/(2^x+1) 的反函数
MATH-0013,M-001-13,1,question-images/source-05-008.png,question-images/wrongbook-math/MATH-0013-01.png,"求 y=(sin3x)/2，x∈[-π/6,π/6] 的反函数"
MATH-0014,M-001-14,1,question-images/source-04-012.png,question-images/wrongbook-math/MATH-0014-01.png,已知 f((1-x)/(1+x))=x，求 f(x)
MATH-0015,M-001-15,1,question-images/source-04-013.png,question-images/wrongbook-math/MATH-0015-01.png,"分段函数 f(x)={2x,x≤0; x²,x≥0}，求 f(f(x))"
MATH-0016,M-001-16,1,question-images/source-05-018.png,question-images/wrongbook-math/MATH-0016-01.png,设 f(x)=1/(1-x)，求 f{f[f(x)]}
MATH-0017,M-001-17,1,question-images/source-05-019.png,question-images/wrongbook-math/MATH-0017-01.png,已知 f(x)=e^x，f[φ(x)]=1+2x，求φ(x)
MATH-0018,M-001-18,1,question-images/source-04-014.png,question-images/wrongbook-math/MATH-0018-01.png,判断 f(x)=ln(√(1+x²)-x) 的奇偶性
