id,subject,chapter,source,answer,analysis_state,answerStatus,analysisSource,analysisImagesCount,missingImage,officialAnswerMismatch,stem
MATH-0001,高数,第一章 函数、极限与连续,高数270道错题本,判断同一函数必须同时满足定义域相同、对应关系相同,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,判断 y=lgx² 与 y=2lgx 等函数是否相同
MATH-0002,高数,第一章 函数、极限与连续,高数270道错题本,这两个函数相同,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,判断 f(x)=∛(x⁴-x³) 与 g(x)=x∛(x-1) 是否相同
MATH-0003,高数,第一章 函数、极限与连续,高数270道错题本,"(-2,-1)∪(1,+∞)",有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求 y=lg(x+2)+1/√(x²-1) 的定义域
MATH-0004,高数,第一章 函数、极限与连续,高数270道错题本,"[-3,4]",有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求 y=√(16-x²)+arcsin((2x-1)/7) 的定义域
MATH-0005,高数,第二章 导数与微分,高数270道错题本,"[-5,-π)∪(0,π)",有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求 y=√(25-x²)+ln(sin x) 的定义域
MATH-0006,高数,第一章 函数、极限与连续,高数270道错题本,"[1,e]",有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,"已知 f(x) 定义域[0,1]，求 f(ln x) 定义域"
MATH-0007,高数,第一章 函数、极限与连续,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,"已知 f(2x+1) 定义域[3,5]，求 f(x-1) 定义域"
MATH-0008,高数,第一章 函数、极限与连续,高数270道错题本,"(-π/2,0)∪(0,π/2)",有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,2,,,求 y=√(4-x²)+1/ln(cos x) 的定义域
MATH-0009,高数,第一章 函数、极限与连续,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,"已知 f(x-3)定义域[0,3]，g(x)=f(x)/√(2x+1)，求g定义域"
MATH-0010,高数,第一章 函数、极限与连续,高数270道错题本,"x∈(-∞,0)",有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,"已知 f(x)定义域(0,1)，求 f(2^x) 定义域"
MATH-0011,高数,第一章 函数、极限与连续,高数270道错题本,f⁻¹(x)=x³-1,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求 y=³√(x+1) 的反函数
MATH-0012,高数,第一章 函数、极限与连续,高数270道错题本,"f⁻¹(x)=log₂[x/(1-x)]，x∈(0,1)",有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,求 y=2^x/(2^x+1) 的反函数
MATH-0013,高数,第一章 函数、极限与连续,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,"求 y=(sin3x)/2，x∈[-π/6,π/6] 的反函数"
MATH-0014,高数,第一章 函数、极限与连续,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,已知 f((1-x)/(1+x))=x，求 f(x)
MATH-0015,高数,第一章 函数、极限与连续,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,"分段函数 f(x)={2x,x≤0; x²,x≥0}，求 f(f(x))"
MATH-0016,高数,第一章 函数、极限与连续,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,设 f(x)=1/(1-x)，求 f{f[f(x)]}
MATH-0017,高数,第一章 函数、极限与连续,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,已知 f(x)=e^x，f[φ(x)]=1+2x，求φ(x)
MATH-0018,高数,第一章 函数、极限与连续,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,判断 f(x)=ln(√(1+x²)-x) 的奇偶性
MATH-0019,高数,第一章 函数、极限与连续,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,判断 f(x)=xcosx+sin x 的奇偶性
MATH-0020,高数,第一章 函数、极限与连续,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,判断 f(x)=1/(e^x+1)-1/2 的奇偶性
MATH-0021,高数,第一章 函数、极限与连续,高数270道错题本,过程题/证明题，按解析步骤作答,有官方/原图解析,official_answer_with_user_image,用户上传错题本图片（v23复查：按现有错题本编号绑定）,1,,,判断 x→∞ 时 y=e^x、y=arctan x 极限是否存在
MATH-0022,高数,第一章 函数、极限与连续,高数270道错题本,不存在,仅答案,answer_only_no_image,错题本图片包未找到对应图片（v23复查）,0,,,判断 lim(x→0)|x|/x 是否存在
MATH-0023,高数,第一章 函数、极限与连续,高数270道错题本,+∞；有限极限不存在,仅答案,answer_only_no_image,错题本图片包未找到对应图片（v23复查）,0,,,判断 lim(x→0)1/x² 是否存在
MATH-0024,高数,第一章 函数、极限与连续,高数270道错题本,5/2,仅答案,answer_only_no_image,错题本图片包未找到对应图片（v23复查）,0,,,求 lim(x→0) sin5x/sin2x
MATH-0025,高数,第一章 函数、极限与连续,高数270道错题本,1/2,仅答案,answer_only_no_image,错题本图片包未找到对应图片（v23复查）,0,,,求 lim(x→0)(1-cos x)/x²
MATH-0026,高数,第一章 函数、极限与连续,高数270道错题本,7/3,仅答案,answer_only_no_image,错题本图片包未找到对应图片（v23复查）,0,,,求 lim(n→∞)(7n+1)/(3n-2)
MATH-0027,高数,第一章 函数、极限与连续,高数270道错题本,3/4,仅答案,answer_only_no_image,错题本图片包未找到对应图片（v23复查）,0,,,求 lim(x→0)tan3x/sin4x
