id,action,stem,old_answer_source
ENG-TEXT-001,cleared_wrong_english_official_link,"1. In many countries around the world, shooting fireworks into the sky is a traditional way to celebrate special ____.",第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-002,cleared_wrong_english_official_link,2. The museum has a modern alarm system to prevent anyone from stealing the ____.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-003,cleared_wrong_english_official_link,3. Online games are an important ____ if we can design games that help people find response in the real world.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-004,cleared_wrong_english_official_link,4. He will have to watch his ____ because of his serious stomach problem.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-005,cleared_wrong_english_official_link,"5. Some netizens use ""beat a call"" as an ____ to ""cheering for"" to show their approval or support for others.",第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-006,cleared_wrong_english_official_link,6. The professor gave his audience a vivid ____ of what he had experienced abroad.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-007,cleared_wrong_english_official_link,1. Would you like some ____?,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-008,cleared_wrong_english_official_link,2. -Are you thirsty? -Yes. Please give me ____.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-009,cleared_wrong_english_official_link,3. We tried to explore different ____ to gathering information.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-010,cleared_wrong_english_official_link,4. The ____ always makes her scared.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-011,cleared_wrong_english_official_link,5. Lily has made an ____ to meet her teacher next Monday.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-012,cleared_wrong_english_official_link,6. I'd like to use this opportunity to thank you for your ____.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-013,cleared_wrong_english_official_link,7. It's only ____ from my school to the bookstore.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-014,cleared_wrong_english_official_link,8. Jack is trying to give up the ____ of smoking.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-015,cleared_wrong_english_official_link,"9. She made a big mistake, and as a ____, lost her job.",第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-016,cleared_wrong_english_official_link,10. Does any of you have a(n) ____?,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-017,cleared_wrong_english_official_link,"11. Pass me a ____ of paper, please.",第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-018,cleared_wrong_english_official_link,12. Jimmy couldn't keep his ____ on the shaky bridge.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-019,cleared_wrong_english_official_link,13. This is ____. She wrote her name on the first page.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-020,cleared_wrong_english_official_link,14. The Internet affects every ____ of our lives.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-021,cleared_wrong_english_official_link,15. Her strong local ____ makes herself not easily understood.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-022,cleared_wrong_english_official_link,16. The ____ of this experiment really upsets me.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-023,cleared_wrong_english_official_link,17. Here are some ____ to help you learn to drive.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-024,cleared_wrong_english_official_link,18. I have seen this famous movie twice in the ____.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-025,cleared_wrong_english_official_link,19. Students have free ____ to the school gym.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-026,cleared_wrong_english_official_link,"20. Many foreigners came to our school last week, including three ____ and four ____.",第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-027,cleared_wrong_english_official_link,21. I've been under ____ recently because of the coming exam.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-028,cleared_wrong_english_official_link,22. The economy is showing signs of ____ after a series of policies.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-029,cleared_wrong_english_official_link,23. His ____ to the job brings him the chance of promotion.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-030,cleared_wrong_english_official_link,24. They came to no ____.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-031,cleared_wrong_english_official_link,25. The leader tells me that my ____ is to serve the people.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-032,cleared_wrong_english_official_link,26. She made no ____ to the inquiry.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-033,cleared_wrong_english_official_link,27. You will succeed if you do not lose ____.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-034,cleared_wrong_english_official_link,"28. This style of T-shirt used to be very popular, but now it is out of ____.",第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-035,cleared_wrong_english_official_link,29. This lesson will be of great ____ to your growth in future.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-036,cleared_wrong_english_official_link,30. Mary saw a car ____ in the street yesterday.,第1章第2节 名词与代词-答案解析.pdf
ENG-TEXT-037,cleared_wrong_english_official_link,31. Howard likes finding ____ with his employees from time to time.,第1章第2节 名词与代词-答案解析.pdf
